category,category_id,subcategory,subcateogory_id,amount,year
議会費,1 ,議会費,1 ,336908767 ,2012 
総務費,2 ,総務管理費,1 ,3821840780 ,2012 
総務費,2 ,徴税費,2 ,515900610 ,2012 
総務費,2 ,戸籍住民基本台帳費,3 ,186485558 ,2012 
総務費,2 ,選挙費,4 ,76891327 ,2012 
総務費,2 ,統計調査費,5 ,5132298 ,2012 
総務費,2 ,監査委員費,6 ,45641947 ,2012 
民生費,3 ,社会福祉費,1 ,7188529733 ,2012 
民生費,3 ,児童福祉費,2 ,5012322373 ,2012 
民生費,3 ,生活保護費,3 ,1231215937 ,2012 
民生費,3 ,国民年金費,4 ,2450286 ,2012 
民生費,3 ,災害救助費,5 ,4566895 ,2012 
衛生費,4 ,保健衛生費,1 ,2662564895 ,2012 
衛生費,4 ,清掃費,2 ,1855608536 ,2012 
衛生費,4 ,水道費,3 ,661509000 ,2012 
衛生費,4 ,病院費,4 ,736557000 ,2012 
労働費,5 ,労働諸費,1 ,283551669 ,2012 
農林水産業費,6 ,農業費,1 ,2349558268 ,2012 
農林水産業費,6 ,林業費,2 ,258236472 ,2012 
商工費,7 ,商工費,1 ,1783539344 ,2012 
土木費,8 ,土木管理費,1 ,162631171 ,2012 
土木費,8 ,道路橋りょう費,2 ,3196445303 ,2012 
土木費,8 ,河川費,3 ,3824645 ,2012 
土木費,8 ,都市計画費,4 ,2116854217 ,2012 
土木費,8 ,住宅費,5 ,270064903 ,2012 
消防費,9 ,消防費,1 ,1836725771 ,2012 
教育費,10 ,教育総務費,1 ,678502039 ,2012 
教育費,10 ,小学校費,2 ,591591874 ,2012 
教育費,10 ,中学校費,3 ,3323523825 ,2012 
教育費,10 ,社会教育費,4 ,904396499 ,2012 
教育費,10 ,保健体育費,5 ,1167820088 ,2012 
災害復旧費,11 ,農林水産業施設災害復旧費,1 ,113238110 ,2012 
災害復旧費,11 ,公共土木施設災害復旧費,2 ,238052867 ,2012 
公債費,12 ,公債費,1 ,6613149513 ,2012 
諸支出金,13 ,普通財産取得費,1 ,440388835 ,2012 
諸支出金,13 ,基金費,2 ,2387054229 ,2012 
